indices,nomes,paises
2019-04-01,Ashley Maxwell,Armenia
2023-04-24,Lauren Montgomery,Samoa
2015-12-11,Wanda Rasmussen,Barbados
1999-05-11,Kenneth Bruce,Andorra
2011-06-15,Justin Moore,Mozambique
1999-02-16,Linda Alvarez,Congo
2009-03-10,Nicole Bishop,Colombia
2003-11-27,Eric Murphy,France
2007-08-24,Lauren Rosario,Ethiopia
2019-09-15,Erin Mayo,Mauritania
2023-05-09,Daniel Collins,Guinea
2015-04-27,Sarah Pineda,Moldova
2019-09-21,Jodi Mcknight,Slovakia (Slovak Republic)
2019-08-07,Andrew Santiago,Ghana
2013-12-27,Mary Young,Barbados
2006-08-30,Jean Baker,Poland
2014-01-20,Jennifer Douglas DDS,Zambia
2009-09-17,Donald Curry,Cuba
2009-09-24,Juan Jones,Honduras
2023-07-11,Matthew Lee,Luxembourg
2006-07-01,Antonio Wiggins,Cayman Islands
2013-03-22,Tiffany Taylor,Turkmenistan
2010-04-26,Clayton Fletcher,Mozambique
2023-01-18,Joseph Simmons,Guinea-Bissau
2002-07-07,Karen Costa,Equatorial Guinea
2013-02-03,Dr. Crystal Hernandez MD,Micronesia
2022-02-08,Nicole Brown,Estonia
1998-06-10,Mary Pittman,Vietnam
2014-10-30,Jamie Wilson,United States Minor Outlying Islands
1995-07-17,Henry Campbell,Kuwait
2022-04-13,Madison Perez,Kiribati
2009-03-13,Leslie Shepherd,Egypt
1999-03-10,Rodney Church,Fiji
2002-12-01,Lindsey Spencer,Zambia
2015-08-31,Manuel Gonzalez,Christmas Island
2006-03-06,Robert Tanner,Indonesia
2017-05-20,Brandy Cannon,India
2012-01-26,Terry Sosa MD,French Guiana
1996-04-18,Erika Mcintosh,Guam
2002-09-08,Timothy Flynn,Bahrain
1996-10-30,Rachel Holden,Rwanda
2008-09-29,Christina Schwartz,Belarus
2010-10-17,Michael Medina,Nigeria
2005-02-26,Daniel Porter,Anguilla
2023-08-05,Nicole Reid,Turkey
2022-11-04,Joseph Hudson,Bosnia and Herzegovina
1999-02-12,Amanda Nguyen,Vanuatu
2022-09-25,Lauren Lynch,Haiti
2008-10-30,David Alexander,Denmark
2014-07-06,Brittany Hess,Kiribati
2009-04-30,Linda Ruiz,Bahrain
2006-04-07,Angela Booth,Svalbard & Jan Mayen Islands
2000-03-06,Stephanie Rivera,Western Sahara
2006-11-28,Marcia Ramirez,Yemen
1996-12-11,Allison Stewart,Nicaragua
